hVD GTC	一代
FgA NTA	天災
FgA cfA	天然
FgA IHB	天理
FgA VsA	天生
FgA eAA	天空
FgA IOC	天籟
FgA XwD	天職
FgA inI	天花
FgA AKC	天賦
FgA NNC	天際
FgA FMB	天體
FgA glA	天鵝
FOC FOC	太太
FOC fwD	太極
FOC eAA	太空
FOC lpA	太陽
hpA fyA	央求
aVD XKB	失主
aVD QyA	失修
aVD IGC	失利
aVD GGC	失地
aVD bVD	失實
aVD ZpA	失常
aVD hHC	失意
aVD IfK	失戀
aVD ayB	失手
aVD DsA	失明
aVD g8D	失業
aVD DgA	失眠
aVD IMB	失禮
aVD OgD	失竊
aVD XwD	失職
aVD VwD	失色
aVD IqD	失落
aVD jrA	失衡
aVD gLC	失誤
aVD NDA	失蹤
d6D dvD	夾擊
d6D GkB	夾道
CDB DsC	奉命
CDB CSA	奉陪
NzC jjC	奏效
eMC hpD	契約
aoA YFB	奢侈
aoA DFF	奢靡
GcL ExD	奪得
GcL DBD	奪目
AXC IwD	奮力
AXC AZD	奮發
AXC EzC	奮鬥
HLA CFB	奴婢
HLA IMC	奴隸
ikB YJC	好處
DpC QpB	妄想
ELC fHC	妒忌
DiC IvA	妙齡
FlJ j5D	妥協
FlJ ZfB	妥善
FlJ F5D	妥貼
DSC DSC	妹妹
DzC XGB	姆指
aHB NLB	始祖
aHB XBA	始終
NoB DSC	姐妹
NoB NoB	姐姐
dLA LpB	姑丈
dLA MpA	姑娘
dLA QwD	姑息
dLA DzB	姑母
QuC DuQ	姓名
IkB IkB	姥姥
DLB DLB	姥姥/媽媽
IkB loA	姥爺
lGA DLB	姨媽
NGA aNC	姿勢
NGA FTC	姿態
hII QVC	威信
hII IwD	威力
hII g8A	威嚴
hPA hPA	娃娃
hfI QyC	娟秀
ClA ClA	婆婆
iaI hVA	婚姻
iaI dnC	婚嫁
iaI hgC	婚宴
iaI IMB	婚禮
iaI VnA	婚紗
DSA dQC	媒介
DSA FMB	媒體
BMC DGF	媲美
dnC SpA	嫁妝
PVD ELC	嫉妒
j5A eGC	嫌棄
j5A gHA	嫌疑
hfE jAA	嫣紅
DKB DGG	嫵媚
ZfA hfI	嬋娟
huQ jTA	嬰孩
NHB loC	子夜
NHB MJB	子女
NHB QaI	子孫
NHB dBA	子宮
eAB DiG	孔廟
eAB djC	孔教
eAB NpD	孔雀
lwC CyB	孕婦
PHC F5D	字帖
PHC DqD	字幕
PHC jvA	字形
PHC GhA	字條
PHC DzB	字母
PHC geB	字眼
PHC RHA	字詞
PHC NuD	字跡
PHC h1E	字音
PHC FMB	字體
PaI Q1A	存心
PaI EqA	存檔
PaI ecJ	存款
PaI ilK	存貨
ijC NHB	孝子
ijC dsC	孝敬
dGK ecA	季刊
dGK NgD	季節
dGK dXI	季軍
dLA PvD	孤寂
dLA GAD	孤獨
dLA I1D	孤立
jTA NHB	孩子
jTA GAA	孩童
QaI NHB	孫子
BKA inK	孵化
jED kGK	學位
jED XNC	學制
jED kXI	學員
jED DXC	學問
jED GqA	學堂
jED UHB	學士
jED NHB	學子
jED HgA	學年
jED AKB	學府
jED GLA	學徒
jED fHA	學期
jED jjC	學校
jED g8D	學業
jED IvD	學歷
jED BPC	學派
jED GAA	學童
jED R1D	學習
jED XoB	學者
jED bVL	學術
kKB LyC	宇宙
kKB jqA	宇航
hcA PfI	安全
hcA GvC	安定
hcA HvA	安寧
hcA Q1A	安心
hcA QwD	安息
hcA hIK	安慰
hcA CQA	安排
hcA BKB	安撫
hcA cfA	安然
hcA haJ	安穩
hcA JHC	安置
hcA NqC	安葬
hcA SpA	安裝
hcA lVD	安逸
hcA PuB	安靜
hcA EaK	安頓
jcI CGG	完備
jcI PfI	完全
jcI ZfB	完善
jcI ZuA	完成
jcI XuB	完整
jcI DcB	完滿
jcI AVD	完畢
jcI dgD	完結
jcI DGF	完美
jtI kIJ	宏偉
jtI lpA	宏揚
jtI gZK	宏願
NCA VGA	宗師
NCA djC	宗教
NCA PAD	宗族
NCA XGB	宗旨
dcI AsA	官兵
dcI QHA	官司
dcI IHC	官吏
dcI kXI	官員
dcI LpA	官場
dcI EMB	官邸
gFE cVA	宜人
erD ddK	客串
erD cVA	客人
erD FvA	客廳
erD dIA	客機
erD bfI	客船
erD IVI	客輪
erD kXK	客運
QfI BcC	宣判
QfI lpA	宣揚
QfI XFB	宣紙
QfI gZA	宣言
QfI ZNC	宣誓
aVD haI	室溫
jOC QyA	害羞
dnA cVA	家人
dnA DKC	家務
dnA kZI	家園
dnA dsB	家境
dnA ZDD	家屬
dnA ZpA	家常
dnA GvA	家庭
dnA PAD	家族
dnA dfO	家眷
dnA f1E	家禽
dnA dMC	家計
dnA ipA	家鄉
dnA DaA	家門
lDA eGG	容器
lDA lFC	容易
lDA H2D	容納
lDA iJB	容許
lDA DjC	容貌
QBD aoC	宿舍
PvD DqD	寂寞
PvD PuB	寂靜
dFG PaI	寄存
dFG VsA	寄生
dFG FqD	寄託
DVH OgD	密切
DVH DnB	密碼
DVH P1D	密集
AyC apA	富商
AyC kyB	富有
AyC lKC	富裕
AyC jkA	富豪
AyC dIK	富貴
jcA hHC	寒意
jcA iZI	寒暄
jcA IyA	寒流
gKC hHC	寓意
gKC VJB	寓所
dnJ CyB	寡婦
dnJ GzA	寡頭
O1B aVD	寢室
bVD INC	實例
bVD IwD	實力
bVD DKC	實務
bVD GGC	實地
bVD PuA	實情
bVD DXD	實物
bVD jgC	實現
bVD lDC	實用
bVD R1D	實習
bVD XwC	實證
bVD PfB	實踐
bVD NNC	實際
bVD g4G	實驗
bVD FMB	實體
HvA PuB	寧靜
a1B BcC	審判
a1B BMA	審批
a1B dgD	審結
a1B DGF	審美
a1B dMC	審計
a1B QVC	審訊
a1B gFG	審議
a1B lfL	審閱
QoB bVD	寫實
QoB hHC	寫意
QoB A9D	寫法
QoB XiC	寫照
QoB VsA	寫生
ecI lDA	寬容
ecI aJC	寬恕
ecI lKC	寬裕
ecI ecL	寬闊
ecI jeB	寬限
ecI CVA	寬頻
IhA hAD	寮屋
KDB hTC	寵愛
KDB DXD	寵物
AkB AkB	寶寶
AkB PlK	寶座
AkB gDD	寶玉
AkB ZuD	寶石
AkB PqC	寶藏
AkB AOC	寶貝
AkB dIK	寶貴
RHC DiG	寺廟
NpC IuB	將領
XfI cVA	專人
XfI IGC	專利
XfI XNC	專制
XfI kXI	專員
XfI dnA	專家
XfI Q1A	專心
XfI XuC	專政
XfI hcC	專案
XfI g8D	專業
XfI fGO	專櫃
XfI IcA	專欄
XfI XKC	專注
XfI luI	專營
XfI lDC	專用
XfI QfC	專線
XfI BpC	專訪
XfI StD	專責
XfI DPC	專賣
XfI P1D	專輯
XfI DaA	專門
XfI jEB	專項
NaI g8A	尊嚴
NaI UBA	尊崇
NaI dsC	尊敬
NaI dIK	尊貴
NaI LDB	尊重
R1A ZpA	尋常
R1A fyA	尋求
R1A jtL	尋獲
R1A DvD	尋覓
ESK AKC	對付
ESK IGJ	對壘
ESK gOK	對外
ESK LHB	對峙
ESK GTB	對待
ESK hwC	對應
ESK ayB	對手
ESK IyA	對流
ESK XiC	對照
ESK CrD	對白
ESK I1D	對立
ESK jRK	對話
ESK G3A	對談
ESK RpB	對象
ESK DfC	對面
GkC VGA	導師
GkC lfB	導演
GkC dcJ	導管
GkC JGC	導致
GkC gZA	導言
GkC GAD	導讀
GkC lyA	導遊
QiB KyB	小丑
QiB cVA	小人
QiB cFA	小兒
QiB B1F	小品
QiB jvA	小型
QiB NoB	小姐
QiB NHB	小子
QiB jED	小學
QiB AnA	小巴
QiB Q1A	小心
QiB ZHA	小時
QiB NLB	小組
QiB FSJ	小腿
QiB AZC	小販
QiB DtD	小麥
aiC HgA	少年
aiB VKC	少數
aiB IpC	少量
N4A dhC	尖叫
N4A EcI	尖端
PyC GGC	就地
PyC jED	就學
PyC O1B	就寢
PyC ZFB	就是
PyC g8D	就業
PyC OFB	就此
PyC QcJ	就算
PyC C9B	就範
PyC RJB	就緒
PyC GAD	就讀
PyC hHA	就醫
YuD NHB	尺子
YuD GLC	尺度
YuD DnB	尺碼
MGA dLA	尼姑
DIB AnA	尾巴
DIB auA	尾聲
HhC luD	尿液
fDD aNC	局勢
fDD jeB	局限
fDD DfC	局面
BGC dLB	屁股
dJA LKC	居住
dQC ZHA	屆時
dQC DcB	屆滿
hAD NHB	屋子
hAD kKB	屋宇
hAD NuD	屋脊
hAD EvB	屋頂
JfB kGK	展位
JfB B1F	展品
JfB fHA	展期
JfB jgC	展現
JfB I3B	展覽
JfB QiA	展銷
JfB eTA	展開
JfB ILC	展露
JfB dcK	展館
PxA OGC	層次
PxA DfC	層面
IGB IvD	履歷
ZDD QuC	屬性
VeA eyA	山丘
VeA GGC	山地
VeA BlA	山坡
VeA ZuA	山城
VeA IcI	山巒
VeA OaI	山村
VeA UnA	山楂
VeA aGJ	山水
VeA ilJ	山火
VeA ILC	山路
VeA GzA	山頭
gYD I1D	屹立
gED DzB	岳母
QVK OiC	峻峭
UBA AQC	崇拜
dqA kGK	崗位
fXL eHB	崛起
AxA jSK	崩潰
RVI IMB	巡禮
RVI lyA	巡遊
RVI IlC	巡邏
dAA cVA	工人
dAA fKC	工具
dAA PpC	工匠
dAA GGC	工地
dAA ZHA	工時
dAA g8D	工業
dAA LuA	工程
dAA gNC	工藝
dAA NGA	工資
NlB ayB	左手
NlB AgA	左邊
fJB cVA	巨人
fJB PpC	巨匠
fJB jvA	巨型
fJB QvA	巨星
fJB ecJ	巨款
fJB AfG	巨變
fJB ipB	巨響
fJB GzA	巨頭
TnA AfH	差別
TFA LFA	差池
TnA lHC	差異
TPA lHC	差異
AnA UHB	巴士
ZHB NuB	市井
ZHB dnC	市價
ZHB LpA	市場
ZHB lDA	市容
ZHB XuC	市政
ZHB DVA	市民
ZHB djA	市郊
ZHB P1D	市集
ZHB DfC	市面
EMC dxL	帝國
VGA AKC	師傅
VGA isI	師兄
VGA DSC	師妹
VGA NoB	師姐
VGA GLA	師徒
VGA C9B	師範
VGA NGA	師資
JpC CAA	帳篷
EOC GAB	帶動
EOC NHB	帶子
EOC IuB	帶領
EOC GzA	帶頭
ZpA DKC	常務
ZpA HgA	常年
ZpA FTC	常態
ZpA IHB	常理
ZpA dFI	常規
ZpA JKC	常駐
DkC NHB	帽子
jqJ NHB	幌子
DqD PpA	幕牆
CNC LHC	幣值
CNC XNC	幣制
AqA UJC	幫助
AqA DqA	幫忙
dcA ciB	干擾
dcA lJC	干預
CsA BZA	平反
HgA GTC	年代
HgA AVE	年份
HgA TJA	年初
HgA loC	年夜
HgA DIB	年尾
HgA h0C	年幼
HgA EMB	年底
HgA QwD	年息
HgA IvD	年曆
HgA dHB	年紀
HgA d1H	年級
HgA XBA	年終
HgA IkB	年老
HgA QVA	年薪
HgA AiF	年表
HgA ilK	年貨
HgA NGA	年資
HgA IVI	年輪
HgA DRC	年邁
HgA deC	年間
HgA IvA	年齡
jtB DfF	幸免
jtB ABD	幸福
jtB cHA	幸而
jtB eFM	幸虧
jtB kXK	幸運
dcC QfC	幹線
dcC IgC	幹練
jeK inK	幻化
jeK hsB	幻影
jeK QpB	幻想
jeK DfD	幻滅
jeK ExA	幻燈
jeK RpB	幻象
h0C HgA	幼年
h0C LGC	幼稚
h0C DiE	幼苗
h0A h2C	幽暗
h0A gnB	幽雅
h0A IvA	幽靈
h0A ipA	幽香
h0A DxD	幽默
dIA jLA	幾乎
AGC kyC	庇佑
AGC jLC	庇護
UpA GzA	床頭
RJB IfD	序列
RJB DqD	序幕
RJB eDD	序曲
EMB PxA	底層
EMB BgC	底片
EMB CcA	底盤
EMB QfC	底線
EMB QVA	底薪
EMB hXI	底蘊
E5C XKB	店主
E5C DfC	店面
PlK kGK	座位
PlK G3A	座談
eLC PaI	庫存
eqA FOC	康泰
QpA CpA	廂房
I4A dnC	廉價
I4A ZJC	廉署
LKA fKC	廚具
LKA VGA	廚師
LKA CpA	廚房
LKA gNC	廚藝
DiG kKB	廟宇
AUC eGC	廢棄
AUC aGJ	廢水
AUC DXD	廢物
AUC XFB	廢紙
dqJ AqD	廣博
dqJ LpA	廣場
dqJ AlC	廣播
dqJ gFG	廣義
dqJ DzC	廣袤
dqJ ecL	廣闊
FvA GqA	廳堂
dZC dxL	建國
dZC PTA	建材
dZC dzC	建構
dZC I1D	建立
dZC JBD	建築
dZC afD	建設
dZC gFG	建議
awD DIA	式微
dBA NfC	弓箭
lVB c1D	引入
lVB IwD	引力
lVB DXA	引文
lVB GLC	引渡
lVB lDC	引用
lVB AZD	引發
lVB XwC	引證
lVB eHB	引起
lVB bVL	引述
lVB FSK	引退
lVB IuB	引領
jxI lpA	弘揚
jLA jvA	弧形
cpD aNC	弱勢
cpD JFC	弱智
cpD E5B	弱點
fpA fZC	強健
fpA XNC	強制
fpA duS	強勁
fpA aNC	強勢
fpA inK	強化
fpA SpC	強壯
fpA cpD	強弱
fpA IfD	強烈
fpA GkC	強盜
fpA gtC	強硬
fpA aVA	強身
GcA jxD	彈劾
DFA ALB	彌補
hdI eDD	彎曲
hdI hiA	彎腰
jvA XNC	形制
jvA aNC	形勢
jvA lDA	形容
jvA awD	形式
jvA FTC	形態
jvA ZuA	形成
jvA UpC	形狀
jvA RpB	形象
jvA FMB	形體
OTB VwD	彩色
OTB kXI	彩雲
hsB RpB	影像
hsB hVC	影印
hsB NHB	影子
hsB JfB	影展
hsB QvA	影星
hsB BgC	影片
hsB DMA	影迷
hsB ipB	影響
AFF OFB	彼此
kpJ ITA	往來
kpJ ZpA	往常
kpJ kpJ	往往
kpJ QuD	往昔
kpJ AZB	往返
XuA XfC	征戰
XuA CBD	征服
GTB gKC	待遇
IVL VGA	律師
jzB ITA	後來
jzB iSJ	後悔
GLA CLC	徒步
GLA cfA	徒然
ExD XKB	得主
ExD lHB	得以
ExD EkC	得到
ExD aVD	得失
ExD gFE	得宜
ExD QVD	得悉
ExD hHC	得意
ExD ayB	得手
ExD huT	得益
ExD FMB	得體
CSA jSI	徘徊
ZpA lpA	徜徉
ODA lDA	從容
gJC lDC	御用
CyC AZD	復發
CBD AuT	復辟
RVI jdI	循環
DIA jvA	微型
DIA DiC	微妙
DIA QiB	微小
DIA cpD	微弱
DIA DIA	微微
DIA CBD	微服
DIA I1D	微粒
DIA CqD	微薄
ExD lBD	德育
ExD jrC	德行
iII XpA	徽章
Q1A gFE	心儀
Q1A GAB	心動
Q1A GGC	心地
Q1A dsB	心境
Q1A EMB	心底
Q1A jgA	心弦
Q1A d1H	心急
Q1A QuC	心性
Q1A PuA	心情
Q1A hHC	心意
Q1A FTC	心態
Q1A CpA	心房
Q1A AIA	心扉
Q1A JFC	心智
Q1A dIA	心機
Q1A IHB	心理
Q1A GCA	心疼
Q1A FAC	心痛
Q1A QSK	心碎
Q1A RJB	心緒
Q1A auA	心聲
Q1A LpA	心腸
Q1A ABD	心腹
Q1A igL	心血
Q1A NuD	心跡
Q1A ILC	心路
Q1A cfJ	心軟
Q1A QcI	心酸
Q1A NGK	心醉
Q1A IvA	心靈
Q1A GzA	心頭
AVD CGG	必備
AVD GvC	必定
AVD cfA	必然
AVD QKA	必需/必須
fHC ezB	忌口
fHC iIK	忌諱
cVB ZyB	忍受
cVB Q1A	忍心
cVB HTC	忍耐
XHC gZK	志願
DpC PuA	忘情
DpC glB	忘我
DpC dHC	忘記
DqA IAD	忙碌
JBA bVD	忠實
JBA IfD	忠烈
JBA ZuA	忠誠
gLC gsD	忤逆
eRK hHC	快意
eRK P4D	快捷
eRK IqD	快樂
eRK GvB	快艇
eRK QAD	快速
eRK DaA	快門
eRK OcA	快餐
H5C GzA	念頭
iaL cfA	忽然
iaL IpD	忽略
d1H ODD	急促
d1H fsD	急劇
d1H DqA	急忙
d1H QuC	急性
d1H dyC	急救
d1H IyA	急流
d1H QAD	急速
d1H QKA	急需
QuC CfH	性別
QuC PuA	性情
QuC d2B	性感
QuC UpC	性狀
dQK DXD	怪物
dQK lHC	怪異
dQK GcB	怪誕
e8D cKA	怯懦
dqI iaL	恍惚
dqI cfA	恍然
eDC BnC	恐怕
eDB fKC	恐懼
eSI jtI	恢宏
hbA ExD	恩德
hbA QFC	恩賜
G5A PuB	恬靜
dDA iHB	恭喜
dDA jlC	恭賀
OiB OiB	悄悄
OiB cfA	悄然
lfL cHB	悅耳
QVD Q1A	悉心
QDB cfA	悚然
lyA dyB	悠久
lyA lpA	悠揚
lyA cfA	悠然
lyA deA	悠閒
jdK CsC	患病
jdK XoB	患者
AGE fsD	悲劇
AGE hTA	悲哀
AGE SpC	悲壯
AGE O2B	悲慘
AGE DVF	悲憫
AGE FAC	悲痛
DaC cfD	悶熱
PuA cVA	情人
PuA aNC	情勢
PuA AkC	情報
PuA dsB	情境/情景
PuA jvA	情形
PuA hHC	情意
PuA d2B	情感
PuA FTC	情態
PuA lDD	情慾
PuA jQI	情懷
PuA GvD	情敵
PuA aJA	情書
PuA dlA	情歌
PuA ipK	情況
PuA NgD	情節
PuA dgD	情結
PuA RJB	情緒
PuA lfI	情緣
PuA gFG	情義/情誼
PuA GhC	情調
PuA gZK	情願
KyA KpC	惆悵
QuD CfH	惜別
lGI kyB	惟有
lGI GAD	惟獨
jMK dLC	惠顧
QpB RpB	想像
QpB AVD	想必
QpB A9D	想法
jqI jxL	惶惑
coB ilJ	惹火
lKA eRK	愉快
lKA lfL	愉悅
hHC DIC	意味
hHC GLA	意圖
hHC dsB	意境
hHC gOK	意外
hHC XHC	意志
hHC H5C	意念
hHC FTC	意態
hHC gFG	意義
hHC RpB	意象
hHC gZK	意願
gqD cfA	愕然
gKA IAC	愚弄
hTC cVA	愛人
hTC dxL	愛國
hTC ikC	愛好
hTC Q1A	愛心
hTC PuA	愛情
hTC DLC	愛慕
hTC IfK	愛戀
hTC ETC	愛戴
hTC jLC	愛護
e5D hHC	愜意
d2B cVA	感人
d2B EkC	感到
d2B GAB	感動
d2B ZyB	感受
d2B dcI	感官
d2B QuC	感性
d2B hbA	感恩
d2B gLC	感悟
d2B PuA	感情
d2B eTC	感慨
d2B jQI	感懷
d2B JFA	感知
d2B YDD	感觸
d2B RoC	感謝
PHA ZfB	慈善
PHA AGE	慈悲
PHA DzB	慈母
DLC DuQ	慕名
O2B fsD	慘劇
O2B ipK	慘況
O2B IfD	慘烈
O2B FAC	慘痛
O2B CrD	慘白
O2B LDB	慘重
DdC QuC	慢性
ddK ZpA	慣常
ddK QuC	慣性
QDB lDB	慫恿
esC EgB	慶典
esC jtB	慶幸
hyA Q1A	憂心
hyA jdK	憂患
hyA UyA	憂愁
hyA IJC	憂慮
hyA hXL	憂鬱
CwA eAA	憑空
PiA PGK	憔悴
iZC A9D	憲法
iZC XpA	憲章
EAB ExD	懂得
hwC AKC	應付
hwC ESK	應對
hwC d1H	應急
hwC XfC	應戰
hwC lDC	應用
hwA EqA	應當
hwC ekB	應考
hwC auA	應聲
hwC AfG	應變
cKA cpD	懦弱
LwA CZD	懲罰
IcB ExD	懶得
jQI lwC	懷孕
jQI H5C	懷念
jQI CkB	懷抱
jQI gHA	懷疑
jQI fyC	懷舊
jgI dPK	懸掛
jgI ZKA	懸殊
jgI CyA	懸浮
jgI eAA	懸空
IfK cVA	戀人
IfK PuA	戀情
IfK hTC	戀愛
dlI AvD	戈壁
ZuA djA	成交
ZuA cVA	成人
ZuA dAA	成功
ZuA DuQ	成名
ZuA kXI	成員
ZuA hVA	成因
ZuA PyC	成就
ZuA HgA	成年
ZuA jjC	成效
ZuA AaB	成本
ZuA dlJ	成果
ZuA ZBD	成熟
ZuA I1D	成立
ZuA NvD	成績
dQC CGG	戒備
dQC Q1A	戒心
dQC XGB	戒指
dQC GCD	戒毒
jxL XoB	或者
jxL iJB	或許
XfC IcK	戰亂
XfC kyB	戰友
XfC dxL	戰國
XfC LpA	戰場
XfC UHB	戰士
XfC luL	戰役
XfC dIA	戰機
XfC ilJ	戰火
XfC StA	戰爭
XfC IpD	戰略
XfC QfC	戰線
XfC NvD	戰績
XfC j7B	戰艦
XfC bVL	戰術
XfC EzC	戰鬥
VJB lHB	所以
VJB PTC	所在
VJB ZDD	所屬
VJB ExD	所得
VJB kyB	所有
VJB kIK	所謂
ayB TtD	手冊
ayB aNC	手勢
ayB dAA	手工
ayB DdD	手帕
ayB d2B	手感
ayB XGB	手指
ayB XpB	手掌
ayB LpB	手杖
ayB dIA	手機
ayB GcK	手段
ayB A9D	手法
ayB AVH	手筆
ayB RDD	手續
ayB hcK	手腕
ayB dpD	手腳
ayB AFC	手臂
ayB gNC	手藝
ayB bVL	手術
ayB GzA	手頭
PTA NHB	才子
PTA jED	才學
PTA gNC	才藝
AeC lfB	扮演
BMA XVJ	批准
BMA BcC	批判
BMA AZD	批發
ZwA AjA	承包
ZwA ZyB	承受
ZwA N4D	承接
ZwA dMC	承繼
ZwA R1D	承襲
ZwA HqD	承諾
ZwA CeC	承辦
ZwA kXK	承運
fFF dAA	技工
fFF VGA	技師
fFF A9D	技法
fFF gNC	技藝
fFF bVL	技術
TjA R1D	抄襲
AnB hED	把握
AnB gcK	把玩
AnB DaA	把門
hwX XNC	抑制
hwX jxL	抑或
hwX hXL	抑鬱
GzA AkB	投保
GzA c1D	投入
GzA dFG	投寄
GzA hsB	投影
GzA dIA	投機
GzA XKC	投注
GzA ekB	投考
GzA FTA	投胎
GzA QLC	投訴
GzA NGA	投資
GzA aVA	投身
GzA jEA	投降
eqC XfC	抗戰
eqC fVN	抗菌
BtA dvD	抨擊
EMB XNC	抵制
EMB EqC	抵擋
EMB gJB	抵禦
EMB YDD	抵觸
EMB IOC	抵賴
EMB QiA	抵銷
DcD VeD	抹煞
DcD ixD	抹黑
KyA dYA	抽筋
KyA O4A	抽籤
KyA RpB	抽象
KyA g4G	抽驗
I2D DgC	拉麵
BjA ZyC	拋售
BjA eGC	拋棄
BrD ayB	拍手
BrD AdB	拍板
BrD XiC	拍照
BrD DPC	拍賣
fJB PfL	拒絕
FlC AnB	拖把
FlC e8C	拖欠
dKA CLC	拘捕
dKA dYB	拘謹
XiA DLC	招募
XiA iLA	招呼
XiA apA	招商
XiA GTB	招待
XiA I3B	招攬
XiA NLA	招租
XiA BuS	招聘
XiA dLB	招股
XiA JGC	招致
AQC VGA	拜師
AQC FqD	拜託
XwB dyC	拯救
dDB jvA	拱形
ffM dvD	拳擊
ffM dpD	拳腳
ffM GzA	拳頭
BvA DsC	拼命
AuQ GLA	拼圖
AuQ QoB	拼寫
AuQ OzC	拼湊
AuQ CcA	拼盤
AuQ h1E	拼音
LHA dyB	持久
LHA RDD	持續
XGB H2A	指南
XGB GkC	指導
XGB N4A	指尖
XGB iII	指揮
XGB DsA	指明
XGB d7D	指甲
XGB DXA	指紋
XGB XwC	指證
XGB StD	指責
hcC h7D	按壓
hcC DlA	按摩
hcC ZHA	按時
hcC XiC	按照
hcC MyB	按鈕
GhB XfC	挑戰
FhA QfJ	挑選
HlA lDC	挪用
DZB jSI	挽回
j5D LHA	挾持
SED IAC	捉弄
lfI UJC	捐助
lfI ecJ	捐款
lfI PxC	捐贈
CLC SED	捕捉
CLC IkA	捕撈
BDB LpA	捧場
BDB ABD	捧腹
aoB eGC	捨棄
iZA eHB	掀起
QkB GGC	掃地
QkB XyB	掃帚
QkB DiE	掃描
ZyC ffM	授權
XpB Q1A	掌心
XpB hED	掌握
XpB dLC	掌故
XpB fGO	掌櫃
XpB auA	掌聲
XpB GlB	掌舵
CQA hVC	排印
CQA DuQ	排名
CQA LpA	排場
CQA gOK	排外
CQA aGJ	排水
CQA jAA	排洪
CQA lfB	排演
CQA fyA	排球
CQA IgC	排練
CQA jqC	排行
CQA daL	排骨
OTB lDC	採用
OTB drJ	採礦
OTB H2D	採納
OTB BpC	採訪
OTB dzC	採購
OTB P1D	採集
F2A R1A	探尋
F2A TwD	探測
F2A CsC	探病
F2A JFA	探知
F2A dyC	探究
F2A FkB	探討
F2A BpC	探訪
F2A i4F	探險
N4D IwD	接力
N4D ZyB	接受
N4D DXB	接吻
N4D cpB	接壤
N4D GTB	接待
N4D ayB	接手
N4D FMC	接替
N4D jtL	接獲
N4D AdA	接班
N4D dcJ	接管
N4D H2D	接納
N4D QfC	接線
N4D RDD	接續
N4D YDD	接觸
N4D XDB	接踵
N4D dGN	接軌
N4D QAC	接送
N4D IfA	接連
FSI dqJ	推廣
FSI ejA	推敲
YGI IHB	推理
YGI NgC	推薦
FSI jrA	推行
h4F jLC	掩護
DiE QoB	描寫
DiE jOK	描繪
DiE bVL	描述
T6D GLA	插圖
T6D PlK	插座
T6D ayB	插手
T6D eDD	插曲
T6D inI	插花
lpA gZA	揚言
hED ayB	握手
iII GAB	揮動
iII ayB	揮手
iII AZD	揮發
iII iqL	揮霍
kZI lVB	援引
QaJ aVD	損失
QaJ jOC	損害
QaJ iFO	損毀
QaJ huT	損益
OlA cyA	搓揉
liA GAB	搖動
liA APB	搖擺
liA jqJ	搖晃
liA I3A	搖籃
liA GzA	搖頭
EkB IcK	搗亂
EkB QSK	搗碎
F3D dZC	搭建
F3D BSC	搭配
AuS eGC	摒棄
PSI PcA	摧殘
XGC kyB	摯友
XGC hTC	摯愛
QMA IfD	撕裂
AcD ecJ	撥款
BKB hIK	撫慰
BAD exD	撲克
BAD dyC	撲救
BAD CGC	撲鼻
hDB ETC	擁戴
hDB CkB	擁抱
hDB kyB	擁有
hDB jLC	擁護
ZfC LpA	擅長
dvD FSK	擊退
OkA NqD	操作
dJC QVD	據悉
dJC E5B	據點
LED awA	擢升
gHB gFG	擬議
jqK YBA	擴充
jqK JfB	擴展
jqK dZC	擴建
APB GAB	擺動
APB afD	擺設
ciB IcK	擾亂
BdA awA	攀升
BdA CnA	攀爬
BdA G3A	攀談
jMI EOC	攜帶
jMI ayB	攜手
djB BcA	攪拌
XFA AKC	支付
XFA LHA	支持
XFA kfK	支援
XFA dnC	支架
XFA IyA	支流
XFA QfC	支線
XFA BSC	支配
XFA GSK	支隊
dTB GAB	改動
dTB ZfB	改善
dTB FgA	改天
dTB dnC	改嫁
dTB QoB	改寫
dTB dZC	改建
dTB fHA	改期
dTB XuC	改正
dTB lDC	改用
dTB NLB	改組
dTB IpA	改良
dTB AfG	改變
dTB NVC	改進
dTB GkB	改道
dTB dtD	改革
XuC DKC	政務
XuC erD	政客
XuC fDD	政局
XuC AKB	政府
XuC dTB	政改
XuC ffM	政權
XuC LHC	政治
XuC dQC	政界
XuC TtD	政策
XuC NvD	政績
XuC EqB	政黨
dLC kZI	故園
dLC dBA	故宮
dLC hHC	故意
dLC OFB	故此
dLC ipA	故鄉
dLC IHB	故里
jjC IwD	效力
jjC hwC	效應
jjC dlJ	效果
jjC A9D	效法
jjC IVL	效率
jjC lDC	效用
jjC huT	效益
DVF d2B	敏感
DVF P4D	敏捷
dyC DpA	救亡
dyC DsC	救命
dyC dxL	救國
dyC kfK	救援
dyC jLC	救護
dyC bDD	救贖
RJB bVL	敘述
djC kyB	教友
djC GqA	教堂
djC jED	教學
djC VGA	教師
djC GLA	教徒
djC ZyC	教授
djA ZyC	教授
djA aJA	教書
djC jOK	教會
djA jOK	教會
djC lBD	教育
djC lpB	教養
dsC CSC	敬佩
dsC hHC	敬意
dsC g8D	敬業
dsC hIK	敬畏
XuB dlC	整個
XuB FgA	整天
XuB dgD	整潔
XuB IHB	整理
XuB EaK	整頓
XuB FMB	整體
GvD cVA	敵人
GvD ESK	敵對
GvD hHC	敵意
GvD dXI	敵軍
BKA afD	敷設
VKC PHC	數字
VKC jED	數學
VKC IpC	數量
CNC DsC	斃命
DXA cVA	文人
DXA ffF	文件
DXA fKC	文具
DXA inK	文化
DXA kXI	文員
DXA PHC	文字
DXA jED	文學
DXA CwA	文憑
DXA DsA	文明
DXA aJA	文書
DXA AaB	文本
